Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,356,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""RefactoringLog_12810"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,355,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap RefactoringLog_12810
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,346,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""properties_16xLG"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,345,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap properties_16xLG
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,336,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""plus"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,335,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap plus
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,326,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""NewFile_6276"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,325,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap NewFile_6276
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,316,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""monochrome-square-pattern-background_1164-1345"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,315,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap monochrome_square_pattern_background_1164_1345
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,306,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""monochrome_square_pattern"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,305,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap monochrome_square_pattern
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,296,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""minus"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,295,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap minus
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,286,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""icons8_double_right"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,285,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap icons8_double_right
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,276,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""ic_restore_page_black_36dp"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,275,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap ic_restore_page_black_36dp
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,266,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""ic_people_outline_black_48dp"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,265,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap ic_people_outline_black_48dp
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,256,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""ic_people_black_36dp"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,255,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap ic_people_black_36dp
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,246,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""ic_people_black_24dp"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
